address,name,read7,read6,read5,read4,read3,read2,read1,read0,write7,write6,write5,write4,write3,write2,write1,write0
0,Mode,--,FECF,CRCF,CER,XER,PLLER,TRSR,TRER,RESETN,RESETN,RESETN,RESETN,RESETN,RESETN,RESETN,RESETN
1,Mode control,DDPC,ARSSI,AIF,CD,WORE,FMT,FMS,ADCM,DDPC,ARSSI,AIF,DFCD,WORE,FMT,FMS,ADCM
2,Calc,--,--,--,--,RSSC,VCC,VBC,FBC,--,--,--,--,RSSC,VCC,VBC,FBC
3,FIFO I,,,,,,,,,FEP7,FEP6,FEP5,FEP4,FEP3,FEP2,FEP1,FEP0
4,FIFO II,,,,,,,,,FPM1,FPM0,PSA5,PSA4,PSA3,PSA2,PSA1,PSA0
5,FIFO Data,FIFO7,FIFO6,FIFO5,FIFO4,FIFO3,FIFO2,FIFO1,FIFO0,FIFO7,FIFO6,FIFO5,FIFO4,FIFO3,FIFO2,FIFO1,FIFO0
6,ID Data,ID7,ID6,ID5,ID4,ID3,ID2,ID1,ID0,ID7,ID6,ID5,ID4,ID3,ID2,ID1,ID0
7,RC OSC I,CALR,RCOC6,RCOC5,RCOC4,RCOC3,RCOC2,RCOC1,RCOC0,WOR_SL7,WOR_SL6,WOR_SL5,WOR_SL4,WOR_SL3,WOR_SL2,WOR_SL1,WOR_SL0
8,RC OSC II,,,,,,,,,WOR_SL9,WOR_SL8,WOR_AC5,WOR_AC4,WOR_AC3,WOR_AC2,WOR_AC1,WOR_AC0
9,RC OSC III,,,,,,,,,BBCKS1,BBCKS0,RCOT1,RCOT0,CALW,RCOSC_E,TSEL,TWOR_E
10,CKO Pin,,,,,,,,,ECKOE,CKOS3,CKOS2,CKOS1,CKOS0,CKOI,CKOE,SCKI
11,GPIO1 Pin I,,,,,,,,,--,--,GIO1S3,GIO1S2,GIO1S1,GIO1S0,GIO1I,GIO1OE
12,GPIO2 Pin II,,,,,,,,,--,--,GIO2S3,GIO2S2,GIO2S1,GIO2S0,GIO2I,GIO2OE
13,Clock,GRC3,GRC2,GRC1,GRC0,CSC1,CSC0,CGS,XS,GRC3,GRC2,GRC1,GRC0,CSC1,CSC0,CGS,XS
14,Data rate,SDR7,SDR6,SDR5,SDR4,SDR3,SDR2,SDR1,SDR0,SDR7,SDR6,SDR5,SDR4,SDR3,SDR2,SDR1,SDR0
15,PLL I,CHN7,CHN6,CHN5,CHN4,CHN3,CHN2,CHN1,CHN0,CHN7,CHN6,CHN5,CHN4,CHN3,CHN2,CHN1,CHN0
16,PLL II,DBL,RRC1,RRC0,CHR3,CHR2,CHR1,CHR0,IP8,DBL,RRC1,RRC0,CHR3,CHR2,CHR1,CHR0,IP8
17,PLL III,IP7,IP6,IP5,IP4,IP3,IP2,IP1,IP0,IP7,IP6,IP5,IP4,IP3,IP2,IP1,IP0
18,PLL IV,RAC15,RAC14,RAC13,RAC12,RAC11,RAC10,RAC9,RAC8,FP15,FP14,FP13,FP12,FP11,FP10,FP9,FP8
19,PLL V,RAC7,RAC6,RAC5,RAC4,RAC3,RAC2,RAC1,RAC0,FP7,FP6,FP5,FP4,FP3,FP2,FP1,FP0
20,TX I,,,,,,,,,TXSM1,TXSM0,TXDI,TME,FS,FDP2,FDP1,FDP0
21,TX II,,,,,,,,,--,PDV1,PDV0,FD4,FD3,FD2,FD1,FD0
22,Delay I,,,,,,,,,DPR2,DPR1,DPR0,TDL1,TDL0,PDL2,PDL1,PDL0
23,Delay II,,,,,,,,,WSEL2,WSEL1,WSEL0,AGC_D1,AGC_D0,RS_DLY2,RS_DLY1,RS_DLY0
24,RX,,,,,,,,,QDLS,RXSM1,RXSM0,AFC,RXDI,DMG,BWS,ULS
25,RX Gain I,MVGS,AGLNE,IGC,MGC1,MGC0,LGC2,LGC1,LGC0,MVGS,AGLNE,IGC,MGC1,MGC0,LGC2,LGC1,LGC0
26,RX Gain II,RHR7,RHR6,RHR5,RHR4,RHR3,RHR2,RHR1,RHR0,RH7,RH6,RH5,RH4,RH3,RH2,RH1,RH0
27,RX Gain III,RLR7,RLR6,RLR5,RLR4,RLR3,RLR2,RLR1,RLR0,RL7,RL6,RL5,RL4,RL3,RL2,RL1,RL0
28,RX Gain IV,,,,,,,,,ENGC,CRCD,MVSEL1,MVSEL0,MHC,LHC1,LHC0,VGCE
29,RSSI Threshold,ADC7,ADC6,ADC5,ADC4,ADC3,ADC2,ADC1,ADC0,RTH7,RTH6,RTH5,RTH4,RTH3,RTH2,RTH1,RTH0
30,ADC,,,,,,,,,RSM1,RSM0,ERSS,FSARS,--,XADS,RSS,CDM
31,Code I,,,,,,,,,--,MCS,WHTS,FECS,CRCS,IDL,PML1,PML0
32,Code II,,,,,,,,,--,DCL2,DCL1,DCL0,ETH1,ETH0,PMD1,PMD0
33,Code III,,,,,,,,,--,WS6,WS5,WS4,WS3,WS2,WS1,WS0
34,IF Calibration I,--,--,--,FBCF,FB3,FB2,FB1,FB0,--,--,--,MFBS,MFB3,MFB2,MFB1,MFB0
35,IF Calibration II,--,--,--,FCD4,FCD3,FCD2,FCD1,FCD0,,,,,,,,
36,VCO current Calibration,--,--,--,FVCC,VCB3,VCB2,VCB1,VCB0,--,--,VCCS,MVCS,VCOC3,VCOC2,VCOC1,VCOC0
37,VCO Single band Calibration I,--,--,DVT1,DVT0,VBCF,VB2,VB1,VB0,--,--,--,--,MVBS,MVB2,MVB1,MVB0
38,VCO Single band Calibration II,,,,,,,,,--,--,VTH2,VTH1,VTH0,VTL2,VTL1,VTL0
39,Battery detect,RGS,RGV1,RGV0,BDF,BVT2,BVT1,BVT0,BDS,RGS,RGV1,RGV0,QDS,BVT2,BVT1,BVT0,BDS
40,TX test,,,,,,,,,--,--,TXCS,PAC1,PAC0,TBG2,TBG1,TBG0
41,Rx DEM test I,,,,,,,,,DMT,DCM1,DCM0,MLP1,MLP0,SLF2,SLF1,SLF0
42,Rx DEM test II,,,,,,,,,DCV7,DCV6,DCV5,DCV4,DCV3,DCV2,DCV1,DCV0
43,CPC,,,,,,,,,ROSCS,CELS,RGC1,RGC0,STS,LVR,CPC1,CPC0
44,Crystal test,,,,,,,,,RSIS,PKT1,PKT0,PKS,DBD,XCC,XCP1,XCP0
45,PLL test,,,,,,,,,PRS,PMPE,PRIC1,PRIC0,PRRC1,PRRC0,SDPW,NSDO
46,VCO test I,,,,,,,,,MQDL,--,--,TLB,TLB,RLB,RLB,VCBS
47,VCO test II,,,,,,,,,--,--,--,--,RFT3,RFT2,RFT1,RFT0
48,IFAT,,,,,,,,,IGFI2,IGFI1,IGFI0,IGFQ2,IGFQ1,IGFQ0,IFBC,LIMC
49,Rscale,RSC7,RSC6,RSC5,RSC4,RSC3,RSC2,RSC1,RSC0,RSC7,RSC6,RSC5,RSC4,RSC3,RSC2,RSC1,RSC0
50,Filter test,,,,,,,,,FT7,FT6,FT5,FT4,FT3,FT2,FT1,FT0
51,TMV,,,,,,,,,--,TRT2,TRT1,TRT0,ASMV2,ASMV1,ASMV0,ASMV
